station_code,station_name,state,zone,address,latitude,longitude
CHKB,CHAKKI BANK,Punjab,NR,"Pathankot, Punjab",32.259653,75.636651
CH,CHANDAUSI JN,Uttar Pradesh,NR,"Chandausi, Uttar Pradesh",28.458626000000002,78.780268
DGI,DUNGRI,Gujarat,WR,"NH 8, Gujarat",20.687336000000002,72.949119
DDY,DUDWINDI,Punjab,NR,"Kapurthala, Punjab",31.237553,75.258143
DDN,DEHRADUN,Uttarakhand,NR,"Dehradun, Uttarakhand",30.3140377,78.0336011
CDSL,CHANDRESAL,Rajasthan,WCR,"Kota, Rajasthan",25.212948,75.943986
CDG,CHANDIGARH,Chandigarh,NR,"Darua, Chandigarh",30.7019773,76.82208
CPJ,KAPTANGANJ JN,Uttar Pradesh,NER,"Captainganj, Uttar Pradesh",26.926388,83.69990700000001
AWS,ASWANI HALT,Bihar,ECR,"Bagaha, Bihar",27.15958,84.051843
DES,DESARI,Bihar,ECR,"Vaishali, Bihar",25.6683593565,85.4087656586
BKJ,BARKUR,Karnataka,KR,"Udupi, Karnataka",13.477458799999999,74.75968040000001
BFR,BEKAL FORT,Kerala,SR,"Pallikere, Kerala",12.385524,75.04278599999999
DMK,Dilmili,Chhattisgarh,ECoR,"National Highway 16, Chhattisgarh",18.987443,81.737851
DGHR,Deoghar,Jharkhand,ER,"Deoghar, Jharkhand",24.51178242,86.69712126
